****Urspruengliches Lager
Lagerort: Alt-Saarbrucken

ArtNr  Beschreibung                                        Preis  Bestand  Gesamt 
---------------------------------------------------------------------------------
4129   BattleStar Galactica S03E18.mkv                     84.0   3        252.00
2003   Harry Potter und der Feuerkelch                     13.0   10       130.00
2007   Datenbankentwicklung lernernen mit SQL Server 2007  17.0   10       170.00
2004   Harry Potter und der Orden des Phoenix              14.0   10       140.00
3010   The Spectre                                         59.0   10       590.00
4031   BattleStar Galactica S03E4.mkv                      85.0   3        255.00
2002   Harry Potter und der Gefangene von Askaban          12.0   10       120.00
3002   Believer                                            51.0   10       510.00
3007   Darkside                                            10.0   10       100.00
3009   Alone                                               58.0   10       580.00
3008   Faded                                               10.0   10       100.00
4114   BattleStar Galactica S02E16.mkv                     94.0   3        282.00
4023   BattleStar Galactica S02E3.mkv                      130.0  3        390.00
2005   Harry Potter und der der Halbblutprinz              15.0   10       150.00
2006   Harry Potter und die Heiligtuemer des Todes         16.0   10       160.00
2001   Harry Potter und die Kammer des Shreckens           11.0   10       110.00
4071   BattleStar Galactica S01E10.mkv                     99.0   3        297.00
3001   Thunder                                             50.0   10       500.00
4101   BattleStar Galactica S03E14.mkv                     84.0   3        252.00
3006   Venom Theme                                         10.0   10       100.00
4136   BattleStar Galactica S03E19.mkv                     84.0   3        252.00
3003   Bad Liar                                            10.0   10       100.00
4067   BattleStar Galactica S04E9.mkv                      84.0   3        252.00
4099   BattleStar Galactica S01E14.mkv                     108.0  3        324.00
3005   Whatever It Takes                                   54.0   10       540.00
4128   BattleStar Galactica S02E18.mkv                     105.0  3        315.00
4018   BattleStar Galactica S04E2.mkv                      84.0   3        252.00
---------------------------------------------------------------------------------
Gesamtwert:                                                               7223.00


****Nach dem Preis sortiert
3008   Faded                                               10.0   10       100.00
3006   Venom Theme                                         10.0   10       100.00
3007   Darkside                                            10.0   10       100.00
3003   Bad Liar                                            10.0   10       100.00
2001   Harry Potter und die Kammer des Shreckens           11.0   10       110.00
2002   Harry Potter und der Gefangene von Askaban          12.0   10       120.00
2003   Harry Potter und der Feuerkelch                     13.0   10       130.00
2004   Harry Potter und der Orden des Phoenix              14.0   10       140.00
2005   Harry Potter und der der Halbblutprinz              15.0   10       150.00
2006   Harry Potter und die Heiligtuemer des Todes         16.0   10       160.00
2007   Datenbankentwicklung lernernen mit SQL Server 2007  17.0   10       170.00
3001   Thunder                                             50.0   10       500.00
3002   Believer                                            51.0   10       510.00
3005   Whatever It Takes                                   54.0   10       540.00
3009   Alone                                               58.0   10       580.00
3010   The Spectre                                         59.0   10       590.00
4136   BattleStar Galactica S03E19.mkv                     84.0   3        252.00
4067   BattleStar Galactica S04E9.mkv                      84.0   3        252.00
4129   BattleStar Galactica S03E18.mkv                     84.0   3        252.00
4101   BattleStar Galactica S03E14.mkv                     84.0   3        252.00
4018   BattleStar Galactica S04E2.mkv                      84.0   3        252.00
4031   BattleStar Galactica S03E4.mkv                      85.0   3        255.00
4114   BattleStar Galactica S02E16.mkv                     94.0   3        282.00
4071   BattleStar Galactica S01E10.mkv                     99.0   3        297.00
4128   BattleStar Galactica S02E18.mkv                     105.0  3        315.00
4099   BattleStar Galactica S01E14.mkv                     108.0  3        324.00
4023   BattleStar Galactica S02E3.mkv                      130.0  3        390.00

****-10% Rabatt auf alle Artikeln
Lagerort: Alt-Saarbrucken

ArtNr  Beschreibung                                        Preis  Bestand  Gesamt 
---------------------------------------------------------------------------------
4129   (Sonderangebot)BattleStar Galactica S03E18.mkv      75.6   3        226.80
2003   (Sonderangebot)Harry Potter und der Feuerkelch      11.7   10       117.00
2007   (Sonderangebot)Datenbankentwicklung lernernen mit   15.3   10       153.00
2004   (Sonderangebot)Harry Potter und der Orden des Phoe  12.6   10       126.00
3010   (Sonderangebot)The Spectre                          53.1   10       531.00
4031   (Sonderangebot)BattleStar Galactica S03E4.mkv       76.5   3        229.50
2002   (Sonderangebot)Harry Potter und der Gefangene von   10.8   10       108.00
3002   (Sonderangebot)Believer                             45.9   10       459.00
3007   (Sonderangebot)Darkside                             9.0    10        90.00
3009   (Sonderangebot)Alone                                52.2   10       522.00
3008   (Sonderangebot)Faded                                9.0    10        90.00
4114   (Sonderangebot)BattleStar Galactica S02E16.mkv      84.6   3        253.80
4023   (Sonderangebot)BattleStar Galactica S02E3.mkv       117.0  3        351.00
2005   (Sonderangebot)Harry Potter und der der Halbblutpr  13.5   10       135.00
2006   (Sonderangebot)Harry Potter und die Heiligtuemer d  14.4   10       144.00
2001   (Sonderangebot)Harry Potter und die Kammer des Shr  9.9    10        99.00
4071   (Sonderangebot)BattleStar Galactica S01E10.mkv      89.1   3        267.30
3001   (Sonderangebot)Thunder                              45.0   10       450.00
4101   (Sonderangebot)BattleStar Galactica S03E14.mkv      75.6   3        226.80
3006   (Sonderangebot)Venom Theme                          9.0    10        90.00
4136   (Sonderangebot)BattleStar Galactica S03E19.mkv      75.6   3        226.80
3003   (Sonderangebot)Bad Liar                             9.0    10        90.00
4067   (Sonderangebot)BattleStar Galactica S04E9.mkv       75.6   3        226.80
4099   (Sonderangebot)BattleStar Galactica S01E14.mkv      97.2   3        291.60
3005   (Sonderangebot)Whatever It Takes                    48.6   10       486.00
4128   (Sonderangebot)BattleStar Galactica S02E18.mkv      94.5   3        283.50
4018   (Sonderangebot)BattleStar Galactica S04E2.mkv       75.6   3        226.80
---------------------------------------------------------------------------------
Gesamtwert:                                                               6500.70


****-10% Rabatt auf alle CDs
Lagerort: Alt-Saarbrucken

ArtNr  Beschreibung                                        Preis  Bestand  Gesamt 
---------------------------------------------------------------------------------
4129   (Sonderangebot)BattleStar Galactica S03E18.mkv      75.6   3        226.80
2003   (Sonderangebot)Harry Potter und der Feuerkelch      11.7   10       117.00
2007   (Sonderangebot)Datenbankentwicklung lernernen mit   15.3   10       153.00
2004   (Sonderangebot)Harry Potter und der Orden des Phoe  12.6   10       126.00
3010   (Sonderangebot)The Spectre                          47.79  10       477.90
4031   (Sonderangebot)BattleStar Galactica S03E4.mkv       76.5   3        229.50
2002   (Sonderangebot)Harry Potter und der Gefangene von   10.8   10       108.00
3002   (Sonderangebot)Believer                             41.31  10       413.10
3007   (Sonderangebot)Darkside                             8.1    10        81.00
3009   (Sonderangebot)Alone                                46.98  10       469.80
3008   (Sonderangebot)Faded                                8.1    10        81.00
4114   (Sonderangebot)BattleStar Galactica S02E16.mkv      84.6   3        253.80
4023   (Sonderangebot)BattleStar Galactica S02E3.mkv       117.0  3        351.00
2005   (Sonderangebot)Harry Potter und der der Halbblutpr  13.5   10       135.00
2006   (Sonderangebot)Harry Potter und die Heiligtuemer d  14.4   10       144.00
2001   (Sonderangebot)Harry Potter und die Kammer des Shr  9.9    10        99.00
4071   (Sonderangebot)BattleStar Galactica S01E10.mkv      89.1   3        267.30
3001   (Sonderangebot)Thunder                              40.5   10       405.00
4101   (Sonderangebot)BattleStar Galactica S03E14.mkv      75.6   3        226.80
3006   (Sonderangebot)Venom Theme                          8.1    10        81.00
4136   (Sonderangebot)BattleStar Galactica S03E19.mkv      75.6   3        226.80
3003   (Sonderangebot)Bad Liar                             8.1    10        81.00
4067   (Sonderangebot)BattleStar Galactica S04E9.mkv       75.6   3        226.80
4099   (Sonderangebot)BattleStar Galactica S01E14.mkv      97.2   3        291.60
3005   (Sonderangebot)Whatever It Takes                    43.74  10       437.40
